"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (USD)",Frecuencia,"Clics en el enlace"
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 21/03 - Les dimos las bandas y una cá",inactive,41535,actions:post_engagement,0.00164367,15,Diario,68.27,70064,64009,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.974395,1.094596,
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 22/03 - Hay dos tipos de domingos:",not_delivering,1,actions:post_engagement,0,15,Diario,0,2,2,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0,1,
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 27/03 - Soft vs. Sticky 🍬✨ 💖 Crem",not_delivering,246,actions:post_engagement,0.00195122,15,Diario,0.48,629,621,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0.763116,1.012882,
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 29/03 - No dejes tu piel para el últi",not_delivering,21,actions:post_engagement,0.0052381,15,Diario,0.11,98,98,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",1.122449,1,
2026-03-01,2026-03-31,"[Depilé] Depilé Glow - 30/03 - Armando maletas para el feri",not_delivering,1,actions:post_engagement,0,15,Diario,0,1,1,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-10T11:27:18-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG",0,1,
2026-03-01,2026-03-31,"[Depilé] 19/11/2025",not_delivering,1951718,reach,0.53783385,3900,Total,1049.7,2907778,1951718,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:28-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg",0.360997,1.489856,89
2026-03-01,2026-03-31,"[Depilé] 19/11/2025 - FB",not_delivering,385325,reach,0.49589308,550,Total,191.08,565093,385325,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-20T09:40:42-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes",-,-,"[Depilé] Video Madre 9:16 - FB- 32 seg",0.338139,1.466536,700
2026-03-01,2026-03-31,"[Depilé] 19/11/2025 - Seguidores",not_delivering,1646,reach,5.10328068,300,Total,8.4,1811,1646,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-06T05:52:21-0500,-,-,-,"[Depilé] Video Madre 9:16 - IG - 32 seg - Seguidores",4.638321,1.100243,
2026-03-01,2026-03-31,"[Depilé] Video-04/02 - IG - 2",not_delivering,5282,actions:post_engagement,0.00280197,3,Diario,14.8,10400,9295,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:00:59-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -20",1.423077,1.118881,
2026-03-01,2026-03-31,"[Depilé] Video-06/02 - IG",not_delivering,196,actions:post_engagement,0.04147959,3,Diario,8.13,1680,1227,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:02:13-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -21",4.839286,1.369193,9
2026-03-01,2026-03-31,"[Depilé] Video- 28/01 - FB",not_delivering,8897,actions:post_engagement,0.00204901,3,Diario,18.23,26120,25984,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:16:39-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -18",0.697933,1.005234,
2026-03-01,2026-03-31,"[Depilé] Video- 04/02 - Fb - 2",not_delivering,5695,actions:post_engagement,0.00268657,3,Diario,15.3,10526,10171,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:24:03-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -20",1.453544,1.034903,13
2026-03-01,2026-03-31,"[Depilé] Video- 06/02 - Fb",not_delivering,281,actions:post_engagement,0.03430605,3,Diario,9.64,2052,1518,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-11T12:25:01-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - FB -21",4.697856,1.351779,17
2026-03-01,2026-03-31,"[Depilé] Video-15/02 - IG",not_delivering,6473,actions:post_engagement,0.00237139,3,Diario,15.35,13171,12202,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-20T02:45:22-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -22",1.165439,1.079413,
2026-03-01,2026-03-31,"[Depilé] Video-19/02 - IG",not_delivering,10937,actions:post_engagement,0.00164213,3,Diario,17.96,26166,23624,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-02-20T02:49:05-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por encima del promedio","[Depilé] Depilé Glow - Piezas estáticas y dinámicas - IG -24",0.686387,1.107602,
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 27/02 - Reel -Nada se siente mejor que una p",inactive,986,actions:post_engagement,0.00817444,5,Diario,8.06,3872,1803,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 20% de los anuncios menos relevantes",Promedio,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.081612,2.147532,
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 04/03 - Post-No es magia, es nuestra fórm",inactive,6,actions:post_engagement,0.01166667,5,Diario,0.07,27,23,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",2.592593,1.173913,
2026-03-01,2026-03-31,"[Depile] Depilé Glow - 06/03 - Que este 8M sea el recordatorio de que la protagonista de tu vida eres tú. ✨ Ríete fuerte. ✨ Ponte lo que quieras. ✨ Ocupa espacio. ✨ Disfruta tu piel. #Depilé #DepiléGlow #8M #DiaDeLaMujer #MainCharacterEnergy #BrillaParaTi #8M #DepiléGlow #SelfLove #Empoderamiento #GlowUpInternal #Protagonista",inactive,4,actions:post_engagement,0.0075,5,Diario,0.03,25,18,2026-03-31,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-14T01:43:52-0500,-,-,-,"[Depilé] Depilé Glow - Piezas estáticas y dinámicas - Seguidores",1.2,1.388889,
